SportCode,SportCategoryCode,SportTournamentCode,BetLimitFactor
31,259,50866,5
31,259,50867,5
31,259,50868,5
31,259,50924,5
31,259,50925,5
31,259,50926,5
31,259,50927,5
31,259,50928,5
31,259,50930,5
31,259,50931,5
31,259,50932,5
31,259,50957,5
31,259,50958,5
31,259,50959,5
31,259,50960,5
31,259,50961,5
31,259,50981,5
31,259,50982,5
31,259,50983,5
31,259,50984,5
31,259,50985,5
31,259,50986,5
31,259,50987,5
31,259,50988,5
31,259,50989,5
31,259,51176,5
31,259,51177,5
31,259,51178,5
31,259,51179,5
31,259,51181,5
31,259,51182,5
31,259,51183,5
31,259,51184,5
31,259,51185,5
31,259,51756,5
31,259,51757,5
31,259,51758,5
31,259,51759,5
31,259,51760,5
31,259,51761,5
31,259,51762,5
31,259,51763,5
31,259,51764,5
31,259,51782,5
31,259,51783,5
31,259,51784,5
31,259,51785,5
31,259,51786,5
31,259,51816,5
31,259,51817,5
31,259,51818,5
31,259,51819,5
